step 153 | train_loss: 6.869161 | grad_norm: 0.4430 | lr: 1.2923e-04 | tok/s: 360086
step 154 | train_loss: 6.770118 | grad_norm: 0.4524 | lr: 1.3007e-04 | tok/s: 360319
step 155 | train_loss: 6.731273 | grad_norm: 0.4346 | lr: 1.3091e-04 | tok/s: 360308
step 156 | train_loss: 6.801245 | grad_norm: 0.4772 | lr: 1.3175e-04 | tok/s: 360563
step 157 | train_loss: 6.843320 | grad_norm: 0.5834 | lr: 1.3259e-04 | tok/s: 360250
step 158 | train_loss: 6.823271 | grad_norm: 0.5798 | lr: 1.3343e-04 | tok/s: 359935
step 159 | train_loss: 6.745551 | grad_norm: 0.5449 | lr: 1.3427e-04 | tok/s: 360032
step 160 | train_loss: 6.690289 | grad_norm: 0.5341 | lr: 1.3510e-04 | tok/s: 360351
step 161 | train_loss: 6.768549 | grad_norm: 0.6763 | lr: 1.3594e-04 | tok/s: 360632
step 162 | train_loss: 6.663713 | grad_norm: 0.7534 | lr: 1.3678e-04 | tok/s: 360262
step 163 | train_loss: 6.622048 | grad_norm: 0.6090 | lr: 1.3762e-04 | tok/s: 360177
step 164 | train_loss: 6.659642 | grad_norm: 0.5793 | lr: 1.3846e-04 | tok/s: 360197
step 165 | train_loss: 6.687830 | grad_norm: 0.5589 | lr: 1.3930e-04 | tok/s: 361346
step 166 | train_loss: 6.534627 | grad_norm: 0.6255 | lr: 1.4014e-04 | tok/s: 363112
step 167 | train_loss: 6.629711 | grad_norm: 0.8146 | lr: 1.4098e-04 | tok/s: 363097
step 168 | train_loss: 6.598551 | grad_norm: 0.9385 | lr: 1.4182e-04 | tok/s: 363102
step 169 | train_loss: 6.629223 | grad_norm: 0.6576 | lr: 1.4266e-04 | tok/s: 362981
step 170 | train_loss: 6.600153 | grad_norm: 0.5738 | lr: 1.4350e-04 | tok/s: 363358
step 171 | train_loss: 6.624354 | grad_norm: 0.7836 | lr: 1.4434e-04 | tok/s: 364222
step 172 | train_loss: 6.609958 | grad_norm: 0.7432 | lr: 1.4517e-04 | tok/s: 365574
step 173 | train_loss: 6.551031 | grad_norm: 0.5307 | lr: 1.4601e-04 | tok/s: 365685
step 174 | train_loss: 6.524523 | grad_norm: 0.5326 | lr: 1.4685e-04 | tok/s: 365586
step 175 | train_loss: 6.595344 | grad_norm: 0.5882 | lr: 1.4769e-04 | tok/s: 365460
step 176 | train_loss: 6.528822 | grad_norm: 0.4002 | lr: 1.4853e-04 | tok/s: 365329
step 177 | train_loss: 6.561978 | grad_norm: 0.4940 | lr: 1.4937e-04 | tok/s: 365097
step 178 | train_loss: 6.498560 | grad_norm: 0.4096 | lr: 1.5021e-04 | tok/s: 365296
step 179 | train_loss: 6.478315 | grad_norm: 0.5257 | lr: 1.5105e-04 | tok/s: 365324
step 180 | train_loss: 6.468257 | grad_norm: 0.5350 | lr: 1.5189e-04 | tok/s: 365564
step 181 | train_loss: 6.502322 | grad_norm: 0.5240 | lr: 1.5273e-04 | tok/s: 365462
step 182 | train_loss: 6.490945 | grad_norm: 0.4200 | lr: 1.5357e-04 | tok/s: 365328
step 183 | train_loss: 6.480903 | grad_norm: 0.4303 | lr: 1.5441e-04 | tok/s: 364964
step 184 | train_loss: 6.501904 | grad_norm: 0.5079 | lr: 1.5524e-04 | tok/s: 365092
step 185 | train_loss: 6.557583 | grad_norm: 0.9707 | lr: 1.5608e-04 | tok/s: 365161
step 186 | train_loss: 6.584676 | grad_norm: 1.3528 | lr: 1.5692e-04 | tok/s: 365082
step 187 | train_loss: 6.639245 | grad_norm: 0.6199 | lr: 1.5776e-04 | tok/s: 365160
step 188 | train_loss: 6.592697 | grad_norm: 0.9589 | lr: 1.5860e-04 | tok/s: 365208
step 189 | train_loss: 6.558623 | grad_norm: 0.7707 | lr: 1.5944e-04 | tok/s: 364844
step 190 | train_loss: 6.615418 | grad_norm: 0.6372 | lr: 1.6028e-04 | tok/s: 329624
step 191 | train_loss: 6.552532 | grad_norm: 0.9483 | lr: 1.6112e-04 | tok/s: 370530
step 192 | train_loss: 6.537585 | grad_norm: 0.7092 | lr: 1.6196e-04 | tok/s: 370503
step 193 | train_loss: 6.585468 | grad_norm: 0.5711 | lr: 1.6280e-04 | tok/s: 370307
step 194 | train_loss: 6.471432 | grad_norm: 0.6834 | lr: 1.6364e-04 | tok/s: 370376
step 195 | train_loss: 6.499865 | grad_norm: 0.6385 | lr: 1.6448e-04 | tok/s: 369998
step 196 | train_loss: 6.473780 | grad_norm: 0.5699 | lr: 1.6531e-04 | tok/s: 370012
step 197 | train_loss: 6.510180 | grad_norm: 0.4207 | lr: 1.6615e-04 | tok/s: 370189
step 198 | train_loss: 6.504903 | grad_norm: 0.5593 | lr: 1.6699e-04 | tok/s: 370048
step 199 | train_loss: 6.483150 | grad_norm: 0.6010 | lr: 1.6783e-04 | tok/s: 370060
step 200 | train_loss: 6.477010 | grad_norm: 0.5068 | lr: 1.6867e-04 | tok/s: 370002
step 201 | train_loss: 6.449853 | grad_norm: 0.4624 | lr: 1.6951e-04 | tok/s: 369937
step 202 | train_loss: 6.450494 | grad_norm: 0.5281 | lr: 1.7035e-04 | tok/s: 369677
step 203 | train_loss: 6.467193 | grad_norm: 0.4680 | lr: 1.7119e-04 | tok/s: 369929
step 204 | train_loss: 6.431414 | grad_norm: 0.5128 | lr: 1.7203e-04 | tok/s: 366094
step 205 | train_loss: 6.506956 | grad_norm: 0.6092 | lr: 1.7287e-04 | tok/s: 364368
step 206 | train_loss: 6.484243 | grad_norm: 0.4939 | lr: 1.7371e-04 | tok/s: 364493
step 207 | train_loss: 6.461060 | grad_norm: 0.6761 | lr: 1.7455e-04 | tok/s: 363545
step 208 | train_loss: 6.369215 | grad_norm: 0.7527 | lr: 1.7538e-04 | tok/s: 360178
step 209 | train_loss: 6.339082 | grad_norm: 0.5394 | lr: 1.7622e-04 | tok/s: 359769
step 210 | train_loss: 6.377504 | grad_norm: 0.6541 | lr: 1.7706e-04 | tok/s: 354364
step 211 | train_loss: 6.392127 | grad_norm: 0.4162 | lr: 1.7790e-04 | tok/s: 350613
step 212 | train_loss: 6.442083 | grad_norm: 0.4991 | lr: 1.7874e-04 | tok/s: 350796
step 213 | train_loss: 6.410043 | grad_norm: 0.5725 | lr: 1.7958e-04 | tok/s: 350863
step 214 | train_loss: 6.400422 | grad_norm: 0.5677 | lr: 1.8042e-04 | tok/s: 350252
step 215 | train_loss: 6.410632 | grad_norm: 0.4233 | lr: 1.8126e-04 | tok/s: 350888
step 216 | train_loss: 6.363927 | grad_norm: 0.5019 | lr: 1.8210e-04 | tok/s: 351157
step 217 | train_loss: 6.336944 | grad_norm: 0.5197 | lr: 1.8294e-04 | tok/s: 351409
step 218 | train_loss: 6.344087 | grad_norm: 0.4693 | lr: 1.8378e-04 | tok/s: 351303
step 219 | train_loss: 6.336532 | grad_norm: 0.5041 | lr: 1.8462e-04 | tok/s: 351475
step 220 | train_loss: 6.262695 | grad_norm: 0.5793 | lr: 1.8545e-04 | tok/s: 351266
step 221 | train_loss: 6.292436 | grad_norm: 0.4848 | lr: 1.8629e-04 | tok/s: 351518
step 222 | train_loss: 6.330711 | grad_norm: 0.6908 | lr: 1.8713e-04 | tok/s: 351987
step 223 | train_loss: 6.236454 | grad_norm: 0.7256 | lr: 1.8797e-04 | tok/s: 352007
step 224 | train_loss: 6.280779 | grad_norm: 0.7766 | lr: 1.8881e-04 | tok/s: 353477
step 225 | train_loss: 6.239751 | grad_norm: 0.6098 | lr: 1.8965e-04 | tok/s: 355739
step 226 | train_loss: 6.220680 | grad_norm: 0.4405 | lr: 1.9049e-04 | tok/s: 355393
step 227 | train_loss: 6.334581 | grad_norm: 0.7041 | lr: 1.9133e-04 | tok/s: 357136
step 228 | train_loss: 6.247986 | grad_norm: 0.6035 | lr: 1.9217e-04 | tok/s: 357318
step 229 | train_loss: 6.243659 | grad_norm: 0.7267 | lr: 1.9301e-04 | tok/s: 357614
step 230 | train_loss: 6.243417 | grad_norm: 0.7460 | lr: 1.9385e-04 | tok/s: 364082
step 231 | train_loss: 6.235487 | grad_norm: 0.5812 | lr: 1.9469e-04 | tok/s: 366308
step 232 | train_loss: 6.412854 | grad_norm: 0.5527 | lr: 1.9552e-04 | tok/s: 366400
step 233 | train_loss: 6.378634 | grad_norm: 0.7378 | lr: 1.9636e-04 | tok/s: 367406
step 234 | train_loss: 6.394613 | grad_norm: 0.6986 | lr: 1.9720e-04 | tok/s: 368462
step 235 | train_loss: 6.381263 | grad_norm: 0.7882 | lr: 1.9804e-04 | tok/s: 368863
step 236 | train_loss: 6.404028 | grad_norm: 0.5992 | lr: 1.9888e-04 | tok/s: 368635
step 237 | train_loss: 6.392601 | grad_norm: 0.5496 | lr: 1.9972e-04 | tok/s: 366645
step 238 | train_loss: 6.327650 | grad_norm: 0.5428 | lr: 2.0056e-04 | tok/s: 368273
step 239 | train_loss: 6.360904 | grad_norm: 0.6051 | lr: 2.0140e-04 | tok/s: 368039
step 240 | train_loss: 6.345105 | grad_norm: 0.6197 | lr: 2.0224e-04 | tok/s: 368681
step 241 | train_loss: 6.378901 | grad_norm: 0.7813 | lr: 2.0308e-04 | tok/s: 368339
step 242 | train_loss: 6.340914 | grad_norm: 0.8720 | lr: 2.0392e-04 | tok/s: 368225
step 243 | train_loss: 6.342670 | grad_norm: 0.6905 | lr: 2.0476e-04 | tok/s: 368175
step 244 | train_loss: 6.262806 | grad_norm: 0.4869 | lr: 2.0559e-04 | tok/s: 368057
step 245 | train_loss: 6.243454 | grad_norm: 0.4484 | lr: 2.0643e-04 | tok/s: 368052
step 246 | train_loss: 6.265437 | grad_norm: 0.4640 | lr: 2.0727e-04 | tok/s: 368401
step 247 | train_loss: 6.325912 | grad_norm: 0.5055 | lr: 2.0811e-04 | tok/s: 368002
step 248 | train_loss: 6.308542 | grad_norm: 0.4811 | lr: 2.0895e-04 | tok/s: 368077
step 249 | train_loss: 6.260606 | grad_norm: 0.4678 | lr: 2.0979e-04 | tok/s: 368056
step 250 | train_loss: 6.280276 | grad_norm: 0.4346 | lr: 2.1063e-04 | tok/s: 366578
step 251 | train_loss: 6.233051 | grad_norm: 0.4400 | lr: 2.1147e-04 | tok/s: 359196
step 252 | train_loss: 6.318495 | grad_norm: 0.4429 | lr: 2.1231e-04 | tok/s: 359331
step 253 | train_loss: 6.248995 | grad_norm: 0.4535 | lr: 2.1315e-04 | tok/s: 359593
step 254 | train_loss: 6.267244 | grad_norm: 0.5804 | lr: 2.1399e-04 | tok/s: 359622
step 255 | train_loss: 6.173625 | grad_norm: 0.5628 | lr: 2.1483e-04 | tok/s: 359748
step 256 | train_loss: 6.238330 | grad_norm: 0.6768 | lr: 2.1566e-04 | tok/s: 359701
step 257 | train_loss: 6.190160 | grad_norm: 0.5987 | lr: 2.1650e-04 | tok/s: 359383
step 258 | train_loss: 6.196539 | grad_norm: 0.7672 | lr: 2.1734e-04 | tok/s: 359697
step 259 | train_loss: 6.210381 | grad_norm: 0.8654 | lr: 2.1818e-04 | tok/s: 359830
step 260 | train_loss: 6.148231 | grad_norm: 1.0475 | lr: 2.1902e-04 | tok/s: 359808
step 261 | train_loss: 6.166036 | grad_norm: 0.7329 | lr: 2.1986e-04 | tok/s: 359653
step 262 | train_loss: 6.149837 | grad_norm: 0.6649 | lr: 2.2070e-04 | tok/s: 359672
step 263 | train_loss: 6.144555 | grad_norm: 0.7003 | lr: 2.2154e-04 | tok/s: 359425
step 264 | train_loss: 6.149912 | grad_norm: 0.6196 | lr: 2.2238e-04 | tok/s: 359439
step 265 | train_loss: 6.163791 | grad_norm: 0.5390 | lr: 2.2322e-04 | tok/s: 360130
step 266 | train_loss: 6.206430 | grad_norm: 0.4590 | lr: 2.2406e-04 | tok/s: 359950
step 267 | train_loss: 6.090658 | grad_norm: 0.5386 | lr: 2.2490e-04 | tok/s: 359974
